Date,Close
2018-05-09,149.0
2018-05-11,149.0
2018-05-14,149.0
2018-05-15,149.0
2018-05-16,148.0
2018-05-17,148.0
2018-05-18,146.0
2018-05-21,145.0
2018-05-22,144.0
2018-05-23,144.0
2018-05-24,145.0
2018-05-25,148.0
2018-05-28,148.0
2018-05-29,147.0
2018-05-30,147.0
2018-05-31,147.0
2018-06-01,149.0
2018-06-04,146.0
2018-06-05,145.0
2018-06-06,146.0
2018-06-07,147.0
2018-06-08,149.0
2018-06-11,148.0
2018-06-12,148.0
2018-06-13,149.0
2018-06-14,148.0
2018-06-15,146.0
2018-06-18,149.0
2018-06-19,148.0
2018-06-20,148.0
2018-06-21,147.0
2018-06-22,147.0
2018-06-25,147.0
2018-06-26,147.0
2018-06-27,146.0
2018-06-28,144.0
2018-06-29,146.0
2018-07-02,145.0
2018-07-03,154.0
2018-07-04,145.0
2018-07-05,146.0
2018-07-06,146.0
2018-07-09,146.0
2018-07-10,155.0
2018-07-11,149.0
2018-07-12,150.0
2018-07-13,148.0
2018-07-16,144.0
2018-07-17,145.0
2018-07-18,148.0
2018-07-19,147.0
2018-07-20,148.0
2018-07-23,149.0
2018-07-24,149.0
2018-07-25,149.0
2018-07-26,151.0
2018-07-27,152.0
2018-07-30,152.0
2018-07-31,153.0
2018-08-01,152.0
2018-08-02,153.0
2018-08-03,153.0
2018-08-06,154.0
2018-08-07,155.0
2018-08-08,155.0
2018-08-09,154.0
2018-08-10,155.0
2018-08-13,153.0
2018-08-14,155.0
2018-08-16,155.0
2018-08-17,156.0
2018-08-20,157.0
2018-08-21,157.0
2018-08-23,158.0
2018-08-24,157.0
2018-08-27,158.0
2018-08-28,153.0
2018-08-29,158.0
2018-08-30,159.0
2018-08-31,158.0
2018-09-03,159.0
2018-09-04,157.0
2018-09-05,155.0
2018-09-06,156.0
2018-09-07,156.0
2018-09-10,156.0
2018-09-11,153.0
2018-09-12,154.0
2018-09-14,156.0
2018-09-17,155.0
2018-09-18,153.0
2018-09-19,152.0
2018-09-21,149.0
2018-09-24,147.0
2018-09-25,147.0
2018-09-26,148.0
2018-09-27,147.0
2018-09-28,145.0
2018-10-01,146.0
2018-10-03,149.0
2018-10-04,153.0
2018-10-05,150.0
2018-10-08,137.0
2018-10-09,137.0
2018-10-10,141.0
2018-10-11,137.0
2018-10-12,140.0
2018-10-15,141.0
2018-10-16,143.0
2018-10-17,140.0
2018-10-19,140.0
2018-10-22,138.0
2018-10-23,140.0
2018-10-24,137.0
2018-10-25,140.0
2018-10-26,136.0
2018-10-29,138.0
2018-10-30,137.0
2018-10-31,140.0
2018-11-01,144.0
2018-11-02,143.0
2018-11-05,142.0
2018-11-06,142.0
2018-11-07,151.0
2018-11-09,144.0
2018-11-12,142.0
2018-11-13,143.0
2018-11-14,143.0
2018-11-15,143.0
2018-11-16,144.0
2018-11-19,145.0
2018-11-20,144.0
2018-11-21,143.0
2018-11-22,141.0
2018-11-26,144.0
2018-11-27,144.0
2018-11-28,151.0
2018-11-29,155.0
2018-11-30,146.0
2018-12-03,146.0
2018-12-04,146.0
2018-12-05,145.0
2018-12-06,142.0
2018-12-07,143.0
2018-12-10,141.0
2018-12-11,142.0
2018-12-12,144.0
2018-12-13,148.0
2018-12-14,148.0
2018-12-17,147.0
2018-12-18,146.0
2018-12-19,148.0
2018-12-20,148.0
2018-12-21,146.0
2018-12-24,143.0
2018-12-26,142.0
2018-12-27,145.0
2018-12-28,146.0
2018-12-31,147.0
2019-01-01,147.0
2019-01-02,146.0
2019-01-03,144.0
2019-01-04,145.0
2019-01-07,146.0
2019-01-08,145.0
2019-01-09,146.0
2019-01-10,146.0
2019-01-11,146.0
2019-01-14,145.0
2019-01-15,149.0
2019-01-16,146.0
2019-01-17,146.0
2019-01-18,146.0
2019-01-21,146.0
2019-01-22,147.0
2019-01-23,145.0
2019-01-24,144.0
2019-01-25,150.0
2019-01-28,151.0
2019-01-29,142.0
2019-01-30,142.0
2019-01-31,146.0
2019-02-01,145.0
2019-02-04,144.0
2019-02-05,145.0
2019-02-06,143.0
2019-02-07,146.0
2019-02-08,148.0
2019-02-11,144.0
2019-02-12,143.0
2019-02-14,147.0
2019-02-15,142.0
2019-02-18,141.0
2019-02-19,140.0
2019-02-20,141.0
2019-02-21,143.0
2019-02-22,143.0
2019-02-25,144.0
2019-02-26,144.0
2019-02-27,146.0
2019-02-28,144.0
2019-03-01,147.0
2019-03-05,147.0
2019-03-06,148.0
2019-03-07,146.0
2019-03-08,147.0
2019-03-11,150.0
2019-03-12,151.0
2019-03-13,151.0
2019-03-14,151.0
2019-03-15,152.0
2019-03-18,152.0
2019-03-19,152.0
2019-03-20,153.0
2019-03-22,152.0
2019-03-25,151.0
2019-03-26,153.0
2019-03-27,151.0
2019-03-28,153.0
2019-04-01,156.0
2019-04-02,155.0
2019-04-03,155.0
2019-04-04,151.0
2019-04-05,155.0
2019-04-08,154.0
2019-04-09,155.0
2019-04-10,154.0
2019-04-11,154.0
2019-04-12,154.0
2019-04-15,155.0
2019-04-16,156.0
2019-04-18,155.0
2019-04-22,153.0
2019-04-23,154.0
2019-04-24,155.0
2019-04-25,156.0
2019-04-26,155.0
2019-04-30,154.0
2019-05-02,154.0
2019-05-03,154.0
2019-05-06,152.0
2019-05-07,152.0
2019-05-08,150.0
2019-05-09,149.0
2019-05-10,149.0
2019-05-13,147.0
2019-05-14,148.0
2019-05-15,147.0
2019-05-16,147.0
2019-05-17,150.0
2019-05-20,154.0
2019-05-21,155.0
2019-05-22,154.0
2019-05-23,153.0
2019-05-24,155.0
2019-05-27,157.0
2019-05-28,157.0
2019-05-29,156.0
2019-05-30,157.0
2019-05-31,156.0
2019-06-03,157.0
2019-06-04,158.0
2019-06-06,155.0
2019-06-07,156.0
2019-06-10,157.0
2019-06-11,157.0
2019-06-12,157.0
2019-06-13,156.0
2019-06-14,155.0
2019-06-17,153.0
2019-06-18,153.0
2019-06-19,153.0
2019-06-20,155.0
2019-06-21,154.0
2019-06-24,154.0
2019-06-25,155.0
2019-06-26,155.0
2019-06-27,156.0
2019-06-28,155.0
2019-07-01,156.0
2019-07-02,156.0
2019-07-03,157.0
2019-07-04,157.0
2019-07-05,155.0
2019-07-08,152.0
2019-07-09,152.0
2019-07-10,151.0
2019-07-11,152.0
2019-07-12,152.0
2019-07-15,152.0
2019-07-16,153.0
2019-07-17,154.0
2019-07-18,152.0
2019-07-19,150.0
2019-07-22,156.0
2019-07-23,149.0
2019-07-24,148.0
2019-07-25,148.0
2019-07-26,148.0
2019-07-29,147.0
2019-07-30,145.0
2019-07-31,146.0
2019-08-01,145.0
2019-08-02,144.0
2019-08-05,143.0
2019-08-06,144.0
2019-08-07,143.0
2019-08-08,144.0
2019-08-09,146.0
2019-08-13,144.0
