Date,Close,Index
2015-11-09,19680.0,NIFTY NEXT 50
2015-11-10,19311.0,NIFTY NEXT 50
2015-11-11,19510.0,NIFTY NEXT 50
2015-11-13,19269.0,NIFTY NEXT 50
2015-11-16,19163.0,NIFTY NEXT 50
2015-11-17,19276.0,NIFTY NEXT 50
2015-11-18,19183.0,NIFTY NEXT 50
2015-11-19,19398.0,NIFTY NEXT 50
2015-11-20,19535.0,NIFTY NEXT 50
2015-11-23,19577.0,NIFTY NEXT 50
2015-11-24,19608.0,NIFTY NEXT 50
2015-11-26,19628.0,NIFTY NEXT 50
2015-11-27,19682.0,NIFTY NEXT 50
2015-11-30,19617.0,NIFTY NEXT 50
2015-12-01,19819.0,NIFTY NEXT 50
2015-12-02,19842.0,NIFTY NEXT 50
2015-12-03,19698.0,NIFTY NEXT 50
2015-12-04,19540.0,NIFTY NEXT 50
2015-12-07,19552.0,NIFTY NEXT 50
2015-12-08,19365.0,NIFTY NEXT 50
2015-12-09,19009.0,NIFTY NEXT 50
2015-12-10,19160.0,NIFTY NEXT 50
2015-12-11,19003.0,NIFTY NEXT 50
2015-12-14,19098.0,NIFTY NEXT 50
2015-12-15,19227.0,NIFTY NEXT 50
2015-12-16,19303.0,NIFTY NEXT 50
2015-12-17,19589.0,NIFTY NEXT 50
2015-12-18,19594.0,NIFTY NEXT 50
2015-12-21,19725.0,NIFTY NEXT 50
2015-12-22,19668.0,NIFTY NEXT 50
2015-12-23,19770.0,NIFTY NEXT 50
2015-12-24,19785.0,NIFTY NEXT 50
2015-12-28,19850.0,NIFTY NEXT 50
2015-12-29,19912.0,NIFTY NEXT 50
2015-12-30,19850.0,NIFTY NEXT 50
2015-12-31,19977.0,NIFTY NEXT 50
2016-01-01,20169.0,NIFTY NEXT 50
2016-01-04,19957.0,NIFTY NEXT 50
2016-01-05,20069.0,NIFTY NEXT 50
2016-01-06,20009.0,NIFTY NEXT 50
2016-01-07,19408.0,NIFTY NEXT 50
2016-01-08,19599.0,NIFTY NEXT 50
2016-01-11,19380.0,NIFTY NEXT 50
2016-01-12,19264.0,NIFTY NEXT 50
2016-01-13,19197.0,NIFTY NEXT 50
2016-01-14,19031.0,NIFTY NEXT 50
2016-01-15,18535.0,NIFTY NEXT 50
2016-01-18,18051.0,NIFTY NEXT 50
2016-01-19,18281.0,NIFTY NEXT 50
2016-01-20,17938.0,NIFTY NEXT 50
2016-01-21,17716.0,NIFTY NEXT 50
2016-01-22,18107.0,NIFTY NEXT 50
2016-01-25,18124.0,NIFTY NEXT 50
2016-01-27,18136.0,NIFTY NEXT 50
2016-01-28,18060.0,NIFTY NEXT 50
2016-01-29,18399.0,NIFTY NEXT 50
2016-02-01,18466.0,NIFTY NEXT 50
2016-02-02,18099.0,NIFTY NEXT 50
2016-02-03,17860.0,NIFTY NEXT 50
2016-02-04,17858.0,NIFTY NEXT 50
2016-02-05,18270.0,NIFTY NEXT 50
2016-02-08,18219.0,NIFTY NEXT 50
2016-02-09,17825.0,NIFTY NEXT 50
2016-02-10,17585.0,NIFTY NEXT 50
2016-02-11,17028.0,NIFTY NEXT 50
2016-02-12,17032.0,NIFTY NEXT 50
2016-02-15,17607.0,NIFTY NEXT 50
2016-02-16,17161.0,NIFTY NEXT 50
2016-02-17,17228.0,NIFTY NEXT 50
2016-02-18,17324.0,NIFTY NEXT 50
2016-02-19,17335.0,NIFTY NEXT 50
2016-02-22,17460.0,NIFTY NEXT 50
2016-02-23,17259.0,NIFTY NEXT 50
2016-02-24,17036.0,NIFTY NEXT 50
2016-02-25,16952.0,NIFTY NEXT 50
2016-02-26,17075.0,NIFTY NEXT 50
2016-02-29,17118.0,NIFTY NEXT 50
2016-03-01,17669.0,NIFTY NEXT 50
2016-03-02,17902.0,NIFTY NEXT 50
2016-03-03,18031.0,NIFTY NEXT 50
2016-03-04,18181.0,NIFTY NEXT 50
2016-03-08,18209.0,NIFTY NEXT 50
2016-03-09,18253.0,NIFTY NEXT 50
2016-03-10,18178.0,NIFTY NEXT 50
2016-03-11,18232.0,NIFTY NEXT 50
2016-03-14,18287.0,NIFTY NEXT 50
2016-03-15,18111.0,NIFTY NEXT 50
2016-03-16,18039.0,NIFTY NEXT 50
2016-03-17,18182.0,NIFTY NEXT 50
2016-03-18,18285.0,NIFTY NEXT 50
2016-03-21,18550.0,NIFTY NEXT 50
2016-03-22,18621.0,NIFTY NEXT 50
2016-03-23,18648.0,NIFTY NEXT 50
2016-03-28,18376.0,NIFTY NEXT 50
2016-03-29,18370.0,NIFTY NEXT 50
